name_in_input	EFO_URI
Bladder cancer	EFO_0000292
Bipolar disorder	EFO_0000289
Vitiligo	EFO_0004208
Nasopharyngeal carcinoma	EFO_0004252
Otosclerosis	EFO_0004213
Arterial stiffness	EFO_0004517
Brachial circumference	EFO_0004589
Obsessive-compulsive disorder	EFO_0004242
Joint damage in rheumatoid arthritis	EFO_0000685
"""Glaucoma, primary open-angle"""	EFO_0004190
Cervical cancer	EFO_0001061
Hepatitis C infection	EFO_0003047
Osteonecrosis of the jaw	EFO_0004259
Malignant pleural mesothelioma	EFO_0000770
Ankylosing spondylitis	EFO_0003898
Abdominal aortic aneurysm	EFO_0004214
Bronchopulmonary dysplasia	Orphanet_70589
Osteoarthritis	EFO_0002506
Refractive errors	HP_0000539
Sudden cardiac arrest	EFO_0004278
Temperament	EFO_0004825
Urinary bladder cancer	EFO_0000292
Sick sinus syndrome	HP_0011704
Sudden cardiac death	HP_0001645
Hepatitis C-induced liver cirrhosis	EFO_0005129
Crohn's disease	EFO_0000384
Glaucoma	EFO_0000516
"""Atrial fibrillation, atrial flutter"""	EFO_0000275
Helicobacter pylori serologic status	EFO_0005247
Pulmonary arterial hypertension	EFO_0001361
"""Stroke, ischemic"""	EFO_0000712
Self-employment	EFO_0005241
Glioma	EFO_0000326
Central corneal thickness	EFO_0004731
Bilirubin levels	EFO_0004570
Osteoarthritis (hand)	EFO_0002506
Hirschsprung's disease	Orphanet_388
Keloid	EFO_0004212
Height	EFO_0004339
Platelet aggregation	GO_0070527
Schizophrenia	EFO_0000692
Vascular dementia	EFO_0004718
Intracranial aneurysm	EFO_0003870
Fetal hemoglobin levels	EFO_0004576
Diabetic retinopathy	EFO_0003770
Response to fenofibrate	GO_1901557
Periodontitis	EFO_0000649
Asthma	EFO_0000270
Glomerulosclerosis	EFO_0004236
Major mood disorder	EFO_0004247
Fuch's corneal dystrophy	EFO_0003946
Handedness	EFO_0003889
Substance dependence	EFO_0003890
Retinopathy (non-diabetic)	EFO_0003839
Emphysema	EFO_0000464
Corneal astigmatism	HP_0000483
Narcolepsy	EFO_0000614
Primary sclerosing cholangitis	EFO_0004268
Self-rated health	EFO_0004778
Dengue shock syndrome	EFO_0004227
Biliary atresia	Orphanet_30391
"""Obesity, extreme"""	EFO_0001073
Breast cancer	EFO_0000305
Erythrocyte sedimentation rate	EFO_0004304
Meningococcal disease	EFO_0004249
Peripheral artery disease (PAD)	EFO_0004265
"""Nephrotic syndrome, acquired"""	EFO_0004255
Polycystic ovary syndrome	EFO_0000660
Chronic obstructive pulmonary disease (COPD)	EFO_0000341
Nevirapine-induced rash	GO_0061479
Stroke	EFO_0000712
Coronary spasm	EFO_0004225
Economic and political preferences	EFO_0004827
Facial morphology	EFO_0004743
Corneal curvature	EFO_0004345
Kawasaki disease	EFO_0004246
Job-related exhaustion	EFO_0005250
Hippocampal volume	EFO_0005035
Paraoxonase activity	EFO_0005126
Nicotine dependence	EFO_0003768
Ulcerative colitis	EFO_0000729
Myopia	HP_0000545
Capecitabine sensitivity	GO_0097327
Migraine	EFO_0003821
Psoriatic arthritis	EFO_0003778
Dental caries	EFO_0003819
Iron deficiency	EFO_0004272
Gaucher disease	Orphanet_355
Essential tremor	EFO_0003108
"""Alzheimer's disease, late onset"""	EFO_0000249
Tetralogy of Fallot	HP_0001636
Progressive supranuclear palsy	Orphanet_683
Prostate cancer	EFO_0001663
Breast size	EFO_0004884
Response to antidepressants	GO_0036276
Parkinson's disease	EFO_0002508
Telomere length	EFO_0004505
"""Obesity, early onset extreme"""	EFO_0001073
Glioblastoma	EFO_0000519
Optic disc parameters	EFO_0004832
Response to cholinesterase inhibitors in Alzheimer's disease	EFO_0005195
Sarcoidosis	Orphanet_797
Cachexia	HP_0004326
Pelvic organ prolapse	EFO_0004710
Cleft lip (nonsyndromic cleft lip with or without cleft palate)	EFO_0003959
Heart rate	EFO_0004326
Panic disorder	EFO_0004262
"""Schizophrenia, age at onset"""	EFO_0004847
Infantile hypertrophic pyloric stenosis	EFO_0004707
"""Breast cancer, early onset"""	EFO_0000305
