disease	efo_iri
hippocampal volume in schizophrenia	EFO_0000692
hpv31 seropositivity in cancer	EFO_0001668
thyroid function	HP_0000820
metabolite levels (hva/5-hiaa ratio)	EFO_0000618
schizophrenia (cytomegalovirus infection interaction)	EFO_0000692
mean forced vital capacity from 2 exams	EFO_0003818
"keratoderma, acquired"	EFO_0000701
lung cancer in smokers (pack-years >35)	EFO_0001071
apob (apolipoprotein b) response after 40mg daily simvastatin treatment	N/A
airflow obstruction-ever smokers	N/A
"heart rate with age>12 (with additional exclusion of mi, hf, afib, heart block, heart rate altering medications, extremes of hr)"	HP_0001649
response to metformin in type 2 diabetes (glycemic)	N/A
n-glycan levels	GO_0070085
relative telomere length	N/A
kawasaki disease (female)	EFO_0004246
female sexual dysfunction (overall)	EFO_0004714
sarcoidosis (acute sarcoidosis)	Orphanet_797
fasting serum hdl cholesterol (mg/dl) in children	N/A
prepubertal height growth in women	N/A
cerebral aneurysm	EFO_0003870
birth weight and type 2 diabetes	EFO_0004344
perphenazine treatment in schizophrenia: disorganized response	N/A
periodontitis	EFO_0000649
response to abacavir-containing treatment in hiv-1 infection (virologic failure)	N/A
weight (kg) in children	N/A
rhegmatogenous retinal detachment	EFO_0005773
adverse cardiovascular reactions by calcineurin inhibitors among patients with renal transplants	N/A
conjugated bilirubin	HP_0002904
breast cancer (estrogen receptor negative breast cancer)	EFO_0000305
vldl cholesterol medium lipoprotein fraction concentration	N/A
bipolar disorder (age of onset and psychotic symptoms)	EFO_0000289
unconjugated bilirubin	HP_0002904
mitochondrial dna levels	Orphanet_68380
optic nerve degeneration in high-pressure glaucoma (cup-to-disc ratio)	N/A
major depressive disorder (citalopram treatment remission)	N/A
efavirenz pharmacokinetics (log-transformed trough efavirenz concentration)	EFO_0000000
fvii in plasma	Orphanet_327
serum dehydroepiandrosterone sulphate (dheas) (females)	N/A
lyme disease	N/A
"asthma, childhood, later and unknown onset, and severe asthma"	EFO_0000270
iga levels	HP_0002720
electrocardiographic conduction measures	HP_0001649
type 2 diabetes (females)	EFO_0001360
adverse response to aromatase inhibitors	EFO_0000000
age at death	GO_0007568
diet carbohydrate (%energy) in children	N/A
b-cell acute lymphoblastic leukemia	EFO_0000220
cd40 ligand in serum	EFO_0000540
trailsa	EFO_0003925
bipolar i disorder	EFO_0000289
waist circumference change (cm/y) in children	N/A
pr interval	EFO_0004269
forward wave amplitude	EFO_0003914
"triglycerides, mmol/l"	EFO_0004211
brachial circumference	EFO_0003914
response to platinum-based chemotherapy (cisplatin)	N/A
"white blood cell (wbc) count (10^9/l), log"	EFO_0004233
hemorrhage of gastrointestinal tract	HP_0002239
gastric cancer	EFO_0003897
obesity-related traits	EFO_0001073
gamma-glutamyl transferase (ggt)	EFO_0001421
drug-induced liver injury	EFO_0004228
percent survival after carboplatin treatment	N/A
biochemical measures	N/A
glaucoma (high intraocular pressure)	EFO_0000516
rectal cancer	EFO_1000657
common variable immunodeficiency (lymphadenopathy)	Orphanet_1572
suicide	N/A
plasma cystastin c levels in acute coronary syndrome	HP_0000083
sickle cell anemia	Orphanet_232
vldl cholesterol small lipoprotein fraction concentration in fasting sample	N/A
plasma protein s levels in venous thrombosis	HP_0004936
coronary atherosclerosis	EFO_0003914
lumbar spine bone mineral density  (bmd) (male)	N/A
primary tooth eruption (age)	HP_0000706
lung cancer (small cell carcinoma)	EFO_0000702
osteoarthritis (hip)	EFO_1000786
"lung function, maximal expiration flow at 50% forced vital capactiy (fvc)"	EFO_0003818
musculoskeletal adverse events (ms-aes) in women receiving ai adjuvant therapy for early breast cancer	EFO_0000000
recurrent early onset major depressive disorder	EFO_0003761
serum urate (females)	EFO_0004274
alzheimer's disease (apoe4 negative)	EFO_0000249
male-pattern baldness	Orphanet_79364
obesity in children and adolescents with early age of onset	N/A
negative symptoms in schizophrenia	EFO_0000692
adverse response to chemotherapy in breast cancer (alopecia) (docetaxel)	EFO_0000000
type 2 diabetic peripheral circulatory disorders	EFO_1000896
natriuretic peptide levels	EFO_0003144
triglycerides lipoprotein fraction in fasting sample	N/A
abnormal findings on radiological breast exam	N/A
amyotrophic lateral sclerosis	EFO_0000253
post-traumatic stress disorder (asjusted for relatedness)	EFO_0001358
coronary artery calcification (cac) (excluding previous myocardial infarction cases)	HP_0004934
lung disease severity	Orphanet_586
treatment outcomes for selective serotonin reuptake inhibitors (ssris) - remission at last visit	N/A
serum testosterone (t) level in dutasteride or placebo treatment group	EFO_0001379
sleep-related phenotypes	N/A
breast cancer (postmenopausal women)	EFO_0000305
keloid disease susceptibility	EFO_0004212
aids	EFO_0000765
glaucoma (normal tension glaucoma)	EFO_0000516
fasting insulin (interaction)	EFO_0002614
dna index in patients with childhood acute lymphoblastic leukemia relapse	EFO_0000220
total energy expenditure respiratory quotient (rq) in children	N/A
epilepsy and lamotrigine-induced maculopapular eruptions	N/A
dyschromia and vitiligo	N/A
chronic hepatitis b infection	EFO_0004197
biantennary nongalactosylated glycans in women	GO_0070085
reading disability and language impairment	EFO_0005424
odorant perception (&beta;-damascenone)	HP_0000458
emphysema	N/A
hip osteoarthritis	EFO_0002506
fear (arbq) in children	N/A
physical activity measured during 24-h room calorimetry (counts/d) in children	N/A
sight-threatening diabetic retinopathy in type 2 diabetes	EFO_0003770
drug-induced liver injury-all dili cases with minocycline or nitrofurantoin as the implicated drug	EFO_0004228
left atrial diameter	EFO_0003777
encounter for long-term use of aspirin	EFO_0004264
bipolar disorder and schizophrenia	EFO_0000289
antipsychotic-induced qtc interval prolongation (risperidone induced)	N/A
brain glutamate concentrations in multiple sclerosis (high neurodegeneration group)	EFO_0003885
framingham risk score (cardiovascular disease) (cvd)	EFO_0000319
longevity (85 years and older)	EFO_0004300
duffy system fya antigen	EFO_0000513
lacunar stroke	N/A
fasting insulin	EFO_0002614
alcoholism (12-month weekly alcohol consumption)	EFO_0003829
5-fluorouracil induced haematologic in response to colorectal cancer treatment	EFO_0000000
neurocognitive function (cvlt-ii long delay free recall test for learning and memory)	N/A
esophageal squamous cell carcinoma (esophageal cancer)	EFO_1000055
antidepressant efficacy in major depressive disorder remission after 12 weeks of treatment	N/A
visceral adipose tissue-derived serine protease inhibitor (vaspin)	EFO_0000589
other aneurysm	HP_0002617
beta globulins (%)	N/A
apnea hypopnea index	EFO_0003877
c9/c10:2	N/A
qt interval (interaction)	HP_0001657
hemoglobin a2 levels in sickle cell anemia	Orphanet_232
alcohol behavior (weekly alcohol consumption)	EFO_0003829
cortisol:dheas ratio	N/A
leg subcutaneous adipose in antiretroviral-treated hiv-1 infected men	N/A
plasma protein-c levels	N/A
"systolic blood pressure (sbp), diastolic blood pressure (dbp) and hypertension"	EFO_0000537
hdl particle features	Orphanet_425
pulmonary function in asthmatics	EFO_0003818
"cognitive performance, similarities"	N/A
head circumference (infant)	N/A
adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel)	EFO_0000000
serum dihydrotestosterone level in dutasteride or placebo treatment group	EFO_0001379
response to anti-tnf therapy in patients with rheumatoid arthritis (good response vs. no response)	N/A
clinical global impression scale of severity with risperidone treatment of schizophrenia	EFO_0000692
resistance to kuru in aged women despite likely exposure	EFO_1001008
suicide attempts in bipolar disorder (males)	EFO_0004321
platelet rich plasma (prp) platelet serotonin	N/A
common variable immunodeficiency	Orphanet_1572
phytosterol levels	N/A
mean hdl cholesterol	Orphanet_425
gemcitabine-induced neutropenia/leukopenia in cancer patients	N/A
chemosensitivity to targeted regimes in metastatic colorectal cancer (bevacizumabfu/leucovorin___ regime)	N/A
drug-induced liver injury (flucloxacillin)	EFO_0004228
total cholesterol in females	HP_0003124
diabetic retinopathy in type 2 diabetes mellitus	EFO_0003770
electrodermal activity	N/A
apolipoprotein levels	N/A
anxiety severity scores	EFO_0006788
inflammatory biomarkers	GO_0006954
malignant pleural mesothelioma	EFO_0001071
serum selenium levels	EFO_1001067
glaucoma (primary open-angle glaucoma) (normal pressure glaucoma)	EFO_0000516
oxaliplatin induced nausea/vomiting in response to colorectal cancer treatment	EFO_0000000
weight (kg)	N/A
pathological myopia	N/A
vaccine-related adverse events	EFO_0000000
number of teeth	HP_0000706
"platelet count (plt), basophil count, lymphocyte count, neutrophil count"	EFO_0005803
alcohol withdrawal symptoms	EFO_0003829
common carotid artery thickness (far walls)	EFO_0003781
upper aero-digestive tract cancer	EFO_0004284
cardiac early repolarization pattern	HP_0001657
cholecystitis without cholelithiasis	HP_0001082
tonometry	EFO_1001069
age at menarche and femoral neck bone periosteal diameter	HP_0000823
concussion	N/A
acenocoumarol (warfarin) maintenance dose	EFO_0000000
lipoprotein (a) - cholesterol levels	N/A
response to cholinesterase inhibitors in alzheimer's disease	N/A
transferrin saturation	N/A
serum testosterone (t) level in placebo group	EFO_0001379
plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)	N/A
hdl cholesterol (modeled hdl cholesterol)	Orphanet_425
aortic-valve calcification	EFO_0000266
decrease in fev1 (in asthmatic participants >=30 years old)	EFO_0003818
left ventricular mass (lv mass) index	EFO_0002503
blood pressure (response to calcium channel blocker)	N/A
parkinson's disease (interaction with coffee consumption)	EFO_0002508
male fertility	EFO_0004248
polycystic ovary syndrome	EFO_0000660
cerebrospinal fluid levels of phosphorylated tau protein (p-tau181p) (alzheimer's disease subjects)	N/A
total serum ige (ln)	EFO_0003785
cardiac dysrhythmias	EFO_0004269
hair morphology (straight or curly)	N/A
response to platinum-based chemotherapy in patients with small-cell lung cancer	N/A
hypertriglyceridemia	EFO_0004211
atherothrombotic stroke	EFO_0000712
cerebrospinal fluid (csf) tau in patients with clinical dementia rating 0	N/A
macrophage inflammatory protein-1b	EFO_0000540
conscientiousness	N/A
political preferences (immigration / crime )	N/A
5-htt brain serotonin transporter levels	EFO_0000618
palmitic acid (16:0) plasma levels	N/A
bilirubin levels in extreme obesity	HP_0002904
"cognitive impairment, no dementia"	EFO_1001457
vigorous activity (min/d) by accelerometry in children	N/A
serum phytosterol	N/A
anxiety	EFO_0005230
multiple complex diseases	EFO_0003765
digit length ratio	N/A
diastolic blood pressure (dbp) (male)	EFO_0000537
body mass index (change over time)	EFO_0001073
total body bone mineral density (bmd)	N/A
vitamin d levels	EFO_0003762
lobe size	N/A
iron	N/A
response to treatment for acute lymphoblastic leukemia	N/A
hiv-associated neurocognitive disorders (rate of neurocognitive decline as measure by processing speed)	EFO_0002608
sedentary activity (min/d) by accelerometry in children	N/A
cell proliferation after carboplatin treatment	N/A
blood metabolite ratios	N/A
brain imaging	N/A
economic and political preferences (fairness)	N/A
confectionary intake	N/A
response to tocilizumab in rheumatoid arthritis	N/A
asthma (childhood asthma)	EFO_0000270
antipsychotic-induced qtc interval prolongation	N/A
cardiovascular disease onset at younger age	EFO_0000319
"conjunctivitis, noninfectious"	N/A
adverse effects of antirheumatics	EFO_0000000
partial epilepsy	EFO_0004263
brachial circumference (female)	EFO_0003914
diplopia and disorders of binocular vision	HP_0000651
triglycerides in nonalcoholic fatty liver disease	EFO_0004211
parasomnia	N/A
endometriosis (stage iii or iv disease)	EFO_0001065
systolic blood pressure (sbp) (mmhg) in children	N/A
"platelet aggregation to collagen lag pre-aspirin, in african ancestry"	HP_0004936
fetal hemoglobin levels in sickle cell anemia	Orphanet_232
systemic lupus erythematosus (sle) (females)	EFO_0002690
advanced prostate cancer	EFO_0000673
carotid artery intima media thickness (sex interaction)	EFO_0003781
25-hydroxy vitamin d concentrations	EFO_0003762
resting oxygen saturation in chronic osbtructive pulmonary disease (pulse oxymetry)	EFO_0000341
other disorders of gallbladder	EFO_0003832
ldl cholesterol response to statins	N/A
purging via substances factor	N/A
comorbid depressive syndrome and alcohol dependence	EFO_0003829
ear protrusion	N/A
emergence of suicidal ideation during treatment with antidepressants  (broad definition - no increase in suicide ideation)	EFO_0000000
simpson-angus scale	N/A
disorders of the autonomic nervous system	N/A
height (adults)	EFO_0004339
fasting blood glucose in low bmi subjects	N/A
"mean cell volume (mcv), red blood cell count (rbc), mean cell hemoglobin (mch), hemoglobin (hgb), hematocrit (hct), neutrophil count, monocyte count, white blood cell count (wbc)"	EFO_0005803
longevity (males)	EFO_0004300
kawasaki disease (with coronary artery lesions)	EFO_0004246
plasma docosapentaenoic acid levels	N/A
suicidal ideation with nortriptyline treatment	EFO_0004320
cortisol secretion (cortisol auc)	N/A
mgmt methylation in smokers	GO_0006306
treatment outcomes for selective serotonin reuptake inhibitors (ssris) - response at 8 weeks	N/A
elevated blood pressure reading	EFO_0000537
mean red blood cell volume (fl)	HP_0001873
immune response to anthrax vaccine	N/A
underweight status	N/A
number of children (6 vs. 0 or 1)	N/A
tamoxifen sensitivity	N/A
rheumatoid arthritis (acpa-negative)	EFO_0000685
all platinum-based drugs-induced neutropenia/leukopenia in cancer patients	N/A
inflammatory diseases of female pelvic organs	N/A
toenail selenium levels	EFO_1001067
serum alkaline phosphatase levels	Orphanet_436
lv diastolic diameter	EFO_0003777
schizophrenia age at onset	EFO_0000692
cystic fibrosis-related diabetes	Orphanet_586
pernicious anemia	EFO_0005576
serum vitamin b12 level	EFO_0000734
height growth from ages 15-adult	N/A
weight change (kg/y) in children	N/A
alpha-1 globulin (%)	N/A
migraine without aura	EFO_0003821
wet neovascular age-related macular degeneration (amd)	EFO_0004683
eur students <30 symbol search	EFO_0003925
coronary arterial lesions in patients with kawasaki disease	EFO_0004246
human episodic memory	N/A
myasthenia gravis	EFO_0004991
perception of the odorant androstenone	N/A
overall disease severity in n370s homozygous gaucher disease	Orphanet_355
mammographic density (dense area)	EFO_0000305
acute appendicitis	EFO_0007149
igg levels	HP_0004315
ldl cholesterol large lipoprotein fraction concentration	N/A
fasting blood glucose in non-diabetics	N/A
hormone measurements	EFO_0001379
non-word repetition	EFO_0004337
cognitive ageing (males)	EFO_1001457
cardioembolic stroke	EFO_0000712
"schizophrenia, bipolar disorder, and major depressive disorder"	N/A
behavioral disturbance or psychiatric symptoms in prion disease	N/A
